fecha,producto,tipo,produccion_me,produccion_real,cumplimiento
2025-11-01,Fracc 2,fraccionamiento,0.0,82.0,0.0
2025-11-01,Total Oleína,total,0.0,82.0,0.0
2025-11-02,Fracc 2,fraccionamiento,0.0,129.0,0.0
2025-11-02,Margarinas,producto,53.55,53.55,100.0
2025-11-02,Total Oleína,total,0.0,129.0,0.0
2025-11-03,Fracc 1,fraccionamiento,0.0,100.61,0.0
2025-11-03,Fracc 2,fraccionamiento,60.0,131.0,218.33
2025-11-03,Margarinas,producto,56.7,56.7,100.0
2025-11-03,Refinería 1,refineria,150.0,341.2,227.47
2025-11-03,Refinería 2,refineria,10.0,2.22,22.2
2025-11-03,Total Oleína,total,60.0,231.61,386.01
2025-11-04,Fracc 1,fraccionamiento,0.0,23.3,0.0
2025-11-04,Fracc 2,fraccionamiento,120.0,132.31,110.26
2025-11-04,Margarinas,producto,63.0,63.0,100.0
2025-11-04,Refinería 1,refineria,330.0,329.99,100.0
2025-11-04,Refinería 2,refineria,35.0,22.25,63.58
2025-11-04,Total Oleína,total,120.0,155.61,129.67
2025-11-05,Fracc 1,fraccionamiento,80.0,87.73,109.66
2025-11-05,Fracc 2,fraccionamiento,120.0,132.93,110.77
2025-11-05,Margarinas,producto,66.15,66.15,100.0
2025-11-05,Refinería 1,refineria,330.0,334.1,101.24
2025-11-05,Refinería 2,refineria,35.0,35.88,102.53
2025-11-05,Total Oleína,total,200.0,220.66,110.33
2025-11-06,Fracc 1,fraccionamiento,80.0,131.84,164.8
2025-11-06,Fracc 2,fraccionamiento,120.0,131.84,109.87
2025-11-06,Margarinas,producto,66.15,66.15,100.0
2025-11-06,Refinería 1,refineria,330.0,335.22,101.58
2025-11-06,Refinería 2,refineria,20.0,31.2,156.01
2025-11-06,Total Oleína,total,200.0,263.68,131.84
2025-11-07,Fracc 1,fraccionamiento,80.0,99.36,124.2
2025-11-07,Fracc 2,fraccionamiento,120.0,134.48,112.07
2025-11-07,Margarinas,producto,63.0,63.0,100.0
2025-11-07,Refinería 1,refineria,330.0,333.52,101.07
2025-11-07,Refinería 2,refineria,10.0,24.61,246.08
2025-11-07,Total Oleína,total,200.0,233.84,116.92
2025-11-08,Fracc 1,fraccionamiento,80.0,104.17,130.21
2025-11-08,Fracc 2,fraccionamiento,120.0,130.77,108.97
2025-11-08,Margarinas,producto,69.3,69.3,100.0
