fecha,zona,rff_real,rff_presupuesto,cpo_real,cpo_presupuesto,palmiste_real,palmiste_presupuesto,tea_real,tea_meta,almendra_real,almendra_presupuesto,kpo_real,kpo_presupuesto,extraccion_almendra,acidez,humedad,impurezas,inventario_cpo,tanque_1,tanque_2,tanque_3,tanque_4
2017-04-30,A&G,1336.96,1363.7,263.59,268.86,13.18,13.71,19.72,20.22,0.0,0.0,0.0,0.0,0.0,2.47,0.12,0.05,79.08,40.0,26.0,0.0,0
2017-05-31,A&G,14726.8,15021.34,2912.01,2970.25,145.6,151.42,20.0,20.5,0.0,0.0,0.0,0.0,0.0,2.5,0.12,0.05,873.6,437.0,291.0,0.0,0
2017-06-30,A&G,18212.7,18576.95,3949.58,4028.57,197.48,205.38,21.69,22.19,0.0,0.0,0.0,0.0,0.0,2.67,0.13,0.05,1184.87,592.0,395.0,0.0,0
2017-07-31,A&G,20473.66,20883.13,4715.38,4809.69,235.77,245.2,23.03,23.53,0.0,0.0,0.0,0.0,0.0,2.8,0.14,0.06,1414.61,707.0,472.0,0.0,0
2017-08-31,A&G,18414.75,18783.05,4190.88,4274.7,209.54,217.93,22.76,23.26,0.0,0.0,0.0,0.0,0.0,2.78,0.13,0.06,1257.26,629.0,419.0,0.0,0
2017-09-30,A&G,19660.6,20053.81,4506.98,4597.12,225.35,234.36,22.59,23.09,0.0,0.0,0.0,0.0,0.0,2.76,0.13,0.06,1352.09,676.0,451.0,0.0,0
2017-10-31,A&G,22428.28,22876.85,5135.83,5238.55,256.79,267.06,22.9,23.4,0.0,0.0,0.0,0.0,0.0,2.79,0.13,0.06,1540.75,770.0,514.0,0.0,0
2017-11-30,A&G,16485.6,16815.32,3792.31,3868.16,189.62,197.2,23.0,23.5,0.0,0.0,0.0,0.0,0.0,2.8,0.14,0.06,1137.69,569.0,379.0,0.0,0
2017-12-31,A&G,9720.5,9914.91,2251.66,2296.7,112.58,117.09,23.16,23.66,0.0,0.0,0.0,0.0,0.0,2.82,0.14,0.06,675.5,338.0,225.0,0.0,0
2018-01-31,A&G,16589.31,16921.1,3609.15,3681.33,180.46,187.68,21.76,22.26,0.0,0.0,0.0,0.0,0.0,2.68,0.13,0.05,1082.74,541.0,361.0,0.0,0
2018-02-28,A&G,12231.15,12475.77,2827.61,2884.16,141.38,147.04,23.12,23.62,0.0,0.0,0.0,0.0,0.0,2.81,0.14,0.06,848.28,424.0,283.0,0.0,0
2018-03-31,A&G,14185.11,14468.81,3148.9,3211.88,157.44,163.74,22.2,22.7,0.0,0.0,0.0,0.0,0.0,2.72,0.13,0.05,944.67,472.0,315.0,0.0,0
2018-04-30,A&G,9760.84,9956.06,2159.03,2202.21,107.95,112.27,22.12,22.62,0.0,0.0,0.0,0.0,0.0,2.71,0.13,0.05,647.71,324.0,216.0,0.0,0
2018-05-31,A&G,10853.27,11070.33,2557.07,2608.22,127.85,132.97,23.56,24.06,0.0,0.0,0.0,0.0,0.0,2.86,0.14,0.06,767.12,384.0,256.0,0.0,0
2018-06-30,A&G,12129.02,12371.6,2941.81,3000.65,147.09,152.97,24.25,24.75,0.0,0.0,0.0,0.0,0.0,2.93,0.14,0.06,882.54,441.0,294.0,0.0,0
2018-07-31,A&G,18883.76,19261.44,4422.77,4511.23,221.14,229.98,23.42,23.92,0.0,0.0,0.0,0.0,0.0,2.84,0.14,0.06,1326.83,663.0,442.0,0.0,0
2018-08-31,A&G,24733.32,25227.99,5601.27,5713.29,280.06,291.27,22.65,23.15,0.0,0.0,0.0,0.0,0.0,2.76,0.13,0.06,1680.38,840.0,560.0,0.0,0
2018-09-30,A&G,24287.03,24772.77,5485.6,5595.32,274.28,285.25,22.59,23.09,0.0,0.0,0.0,0.0,0.0,2.76,0.13,0.06,1645.68,823.0,549.0,0.0,0
2018-10-31,A&G,23940.32,24419.13,5211.12,5315.34,260.56,270.98,21.77,22.27,0.0,0.0,0.0,0.0,0.0,2.68,0.13,0.05,1563.34,782.0,521.0,0.0,0
2018-11-30,A&G,24921.81,25420.25,5639.65,5752.45,281.98,293.26,22.63,23.13,0.0,0.0,0.0,0.0,0.0,2.76,0.13,0.06,1691.9,846.0,564.0,0.0,0
2018-12-31,A&G,8947.88,9126.83,2166.25,2209.57,108.31,112.64,24.21,24.71,0.0,0.0,0.0,0.0,0.0,2.92,0.14,0.06,649.87,325.0,217.0,0.0,0
2019-01-31,A&G,24250.8,24735.82,5717.44,5831.79,285.87,297.31,23.58,24.08,0.0,0.0,0.0,0.0,0.0,2.86,0.14,0.06,1715.23,858.0,572.0,0.0,0
2019-02-28,A&G,22730.77,23185.39,5051.42,5152.44,252.57,262.67,22.22,22.72,0.0,0.0,0.0,0.0,0.0,2.72,0.13,0.05,1515.42,758.0,505.0,0.0,0
2019-03-31,A&G,23332.93,23799.59,4940.72,5039.53,247.04,256.92,21.17,21.67,0.0,0.0,0.0,0.0,0.0,2.62,0.13,0.05,1482.22,741.0,494.0,0.0,0
2019-04-30,A&G,16814.28,17150.56,3895.49,3973.4,194.77,202.57,23.17,23.67,0.0,0.0,0.0,0.0,0.0,2.82,0.14,0.06,1168.65,584.0,390.0,0.0,0
2019-05-31,A&G,20680.02,21093.62,4942.61,5041.46,247.13,257.02,23.9,24.4,0.0,0.0,0.0,0.0,0.0,2.89,0.14,0.06,1482.78,741.0,494.0,0.0,0
2019-06-30,A&G,15419.83,15728.22,3702.43,3776.48,185.12,192.53,24.01,24.51,0.0,0.0,0.0,0.0,0.0,2.9,0.14,0.06,1110.73,555.0,370.0,0.0,0
2019-07-31,A&G,17076.07,17417.59,3940.79,4019.61,197.04,204.92,23.08,23.58,0.0,0.0,0.0,0.0,0.0,2.81,0.14,0.06,1182.24,591.0,394.0,0.0,0
2019-08-31,A&G,14743.0,15037.86,3346.05,3412.97,167.3,173.99,22.7,23.2,0.0,0.0,0.0,0.0,0.0,2.77,0.13,0.06,1003.82,502.0,335.0,0.0,0
2019-09-30,A&G,19832.07,20228.71,4352.38,4439.43,217.62,226.32,21.95,22.45,0.0,0.0,0.0,0.0,0.0,2.69,0.13,0.05,1305.71,653.0,435.0,0.0,0
2019-10-31,A&G,19046.92,19427.86,4251.5,4336.53,212.58,221.08,22.32,22.82,0.0,0.0,0.0,0.0,0.0,2.73,0.13,0.05,1275.45,638.0,425.0,0.0,0
2019-11-30,A&G,14821.51,15117.94,3428.1,3496.66,171.41,178.26,23.13,23.63,0.0,0.0,0.0,0.0,0.0,2.81,0.14,0.06,1028.43,514.0,343.0,0.0,0
2019-12-31,A&G,12734.12,12988.8,2901.3,2959.32,145.06,150.87,22.78,23.28,0.0,0.0,0.0,0.0,0.0,2.78,0.13,0.06,870.39,435.0,290.0,0.0,0
2020-01-31,A&G,23301.35,23767.38,5233.65,5338.33,261.68,272.15,22.46,22.96,0.0,0.0,0.0,0.0,0.0,2.75,0.13,0.05,1570.1,785.0,523.0,0.0,0
2020-02-29,A&G,26438.9,26967.67,5905.6,6023.72,295.28,307.09,22.34,22.84,0.0,0.0,0.0,0.0,0.0,2.73,0.13,0.05,1771.68,886.0,591.0,0.0,0
2020-03-31,A&G,19122.02,19504.46,4285.14,4370.84,214.26,222.83,22.41,22.91,0.0,0.0,0.0,0.0,0.0,2.74,0.13,0.05,1285.54,643.0,429.0,0.0,0
2020-04-30,A&G,16127.0,16449.53,3668.17,3741.54,183.41,190.74,22.75,23.25,0.0,0.0,0.0,0.0,0.0,2.77,0.13,0.06,1100.45,550.0,367.0,0.0,0
2020-05-31,A&G,12537.15,12787.89,2962.34,3021.59,148.12,154.04,23.63,24.13,0.0,0.0,0.0,0.0,0.0,2.86,0.14,0.06,888.7,444.0,296.0,0.0,0
2020-06-30,A&G,8020.4,8180.8,1893.11,1930.97,94.66,98.44,23.6,24.1,0.0,0.0,0.0,0.0,0.0,2.86,0.14,0.06,567.93,284.0,189.0,0.0,0
2020-07-31,A&G,11589.12,11820.91,2755.74,2810.85,137.79,143.3,23.78,24.28,0.0,0.0,0.0,0.0,0.0,2.88,0.14,0.06,826.72,413.0,276.0,0.0,0
2020-08-31,A&G,14162.4,14445.65,3222.6,3287.05,161.13,167.58,22.75,23.25,0.0,0.0,0.0,0.0,0.0,2.78,0.13,0.06,966.78,483.0,322.0,0.0,0
2020-09-30,A&G,12452.35,12701.4,2816.29,2872.62,140.81,146.45,22.62,23.12,0.0,0.0,0.0,0.0,0.0,2.76,0.13,0.06,844.89,422.0,282.0,0.0,0
2020-10-31,A&G,12811.52,13067.75,2806.55,2862.69,140.33,145.94,21.91,22.41,0.0,0.0,0.0,0.0,0.0,2.69,0.13,0.05,841.97,421.0,281.0,0.0,0
2020-11-30,A&G,10215.76,10420.08,2227.6,2272.15,111.38,115.84,21.81,22.31,0.0,0.0,0.0,0.0,0.0,2.68,0.13,0.05,668.28,334.0,223.0,0.0,0
2020-12-31,A&G,9103.42,9285.49,1986.22,2025.95,99.31,103.28,21.82,22.32,0.0,0.0,0.0,0.0,0.0,2.68,0.13,0.05,595.87,298.0,199.0,0.0,0
2021-01-31,A&G,10446.47,10655.4,2357.3,2404.45,117.87,122.58,22.57,23.07,0.0,0.0,0.0,0.0,0.0,2.76,0.13,0.06,707.19,354.0,236.0,0.0,0
2021-02-28,A&G,12865.23,13122.53,2793.65,2849.52,139.68,145.27,21.71,22.21,0.0,0.0,0.0,0.0,0.0,2.67,0.13,0.05,838.1,419.0,279.0,0.0,0
2021-03-31,A&G,20738.21,21152.97,4331.44,4418.07,216.57,225.23,20.89,21.39,0.0,0.0,0.0,0.0,0.0,2.59,0.12,0.05,1299.43,650.0,433.0,0.0,0
2021-04-30,A&G,18160.94,18524.16,3932.39,4011.04,196.62,204.48,21.65,22.15,0.0,0.0,0.0,0.0,0.0,2.67,0.13,0.05,1179.72,590.0,393.0,0.0,0
2021-05-31,A&G,7217.47,7361.82,1590.22,1622.03,79.51,82.69,22.03,22.53,0.0,0.0,0.0,0.0,0.0,2.7,0.13,0.05,477.07,239.0,159.0,0.0,0
2021-06-30,A&G,12158.87,12402.05,2820.35,2876.76,141.02,146.66,23.2,23.7,0.0,0.0,0.0,0.0,0.0,2.82,0.14,0.06,846.11,423.0,282.0,0.0,0
2021-07-31,A&G,12952.74,13211.8,3035.54,3096.25,151.78,157.85,23.44,23.94,0.0,0.0,0.0,0.0,0.0,2.84,0.14,0.06,910.66,455.0,304.0,0.0,0
2021-08-31,A&G,14358.14,14645.3,3314.2,3380.49,165.71,172.34,23.08,23.58,0.0,0.0,0.0,0.0,0.0,2.81,0.14,0.06,994.26,497.0,331.0,0.0,0
2021-09-30,A&G,16327.21,16653.75,3730.2,3804.8,186.51,193.97,22.85,23.35,0.0,0.0,0.0,0.0,0.0,2.78,0.13,0.06,1119.06,560.0,373.0,0.0,0
2021-10-31,A&G,18605.49,18977.6,4215.58,4299.89,210.78,219.21,22.66,23.16,0.0,0.0,0.0,0.0,0.0,2.77,0.13,0.06,1264.67,632.0,422.0,0.0,0
2021-11-30,A&G,17351.67,17698.7,3902.2,3980.25,195.11,202.91,22.49,22.99,0.0,0.0,0.0,0.0,0.0,2.75,0.13,0.05,1170.66,585.0,390.0,0.0,0
2021-12-31,A&G,16620.15,16952.56,3755.46,3830.57,187.77,195.28,22.6,23.1,0.0,0.0,0.0,0.0,0.0,2.76,0.13,0.06,1126.64,563.0,376.0,0.0,0
2022-01-31,A&G,17009.14,17349.32,3847.74,3924.7,192.39,200.08,22.62,23.12,0.0,0.0,0.0,0.0,0.0,2.76,0.13,0.06,1154.32,577.0,385.0,0.0,0
2022-02-28,A&G,12645.97,12898.88,2915.73,2974.04,145.79,151.62,23.06,23.56,0.0,0.0,0.0,0.0,0.0,2.81,0.14,0.06,874.72,437.0,292.0,0.0,0
2022-03-31,A&G,17587.85,17939.61,3926.96,4005.5,196.35,204.2,22.33,22.83,0.0,0.0,0.0,0.0,0.0,2.73,0.13,0.05,1178.09,589.0,393.0,0.0,0
2022-04-30,A&G,14188.6,14472.37,3246.68,3311.62,162.33,168.83,22.88,23.38,0.0,0.0,0.0,0.0,0.0,2.79,0.13,0.06,974.01,487.0,325.0,0.0,0
2022-05-31,A&G,13062.3,13323.54,3022.7,3083.15,151.13,157.18,23.14,23.64,0.0,0.0,0.0,0.0,0.0,2.81,0.14,0.06,906.81,453.0,302.0,0.0,0
